set,heap,type
experiment,4356312,before
experiment,3817520,after
experiment,5020832,before
experiment,4716424,after
experiment,6768584,before
experiment,6351464,after
experiment,10602832,before
experiment,9690888,after
experiment,12249424,before
experiment,11590440,after
experiment,12029760,before
experiment,12029760,after
experiment,12029760,before
experiment,12029760,after
experiment,12029760,before
experiment,12029760,after
experiment,12029760,before
experiment,12029760,after
experiment,14330832,before
experiment,13266648,after
experiment,19168464,before
experiment,19168464,after
experiment,27242128,before
experiment,24285432,after
experiment,28009704,before
experiment,26248304,after
experiment,28840712,before
experiment,27497344,after
experiment,34933792,before
experiment,30153536,after
experiment,36540712,before
experiment,31098912,after
experiment,32123928,before
experiment,32123928,after
experiment,32340512,before
experiment,32340512,after
experiment,32394328,before
experiment,27562672,after
experiment,46216280,before
experiment,32992536,after
experiment,36810608,before
experiment,36810608,after
experiment,4356312,before
experiment,3817520,after
experiment,5020832,before
experiment,4716424,after
experiment,6768568,before
experiment,6351456,after
experiment,10602344,before
experiment,9690224,after
experiment,12245072,before
experiment,11585712,after
experiment,12026528,before
experiment,12026528,after
experiment,12026528,before
experiment,12026528,after
experiment,12026528,before
experiment,12026528,after
experiment,12026528,before
experiment,12026528,after
experiment,14330512,before
experiment,13266624,after
experiment,19099352,before
experiment,19099352,after
experiment,27187632,before
experiment,24242720,after
experiment,27995888,before
experiment,26232672,after
experiment,28838808,before
experiment,27488792,after
experiment,34928416,before
experiment,30147248,after
experiment,36513112,before
experiment,31066696,after
experiment,32799112,before
experiment,32799112,after
experiment,32993592,before
experiment,32993592,after
experiment,33059152,before
experiment,33059152,after
experiment,33124736,before
experiment,27786912,after
experiment,46534792,before
experiment,33450640,after
experiment,36151664,before
experiment,36151664,after
experiment,4356312,before
experiment,3817520,after
experiment,5020744,before
experiment,4716336,after
experiment,6768392,before
experiment,6351280,after
experiment,10602616,before
experiment,9690672,after
experiment,12245368,before
experiment,11586568,after
experiment,12029600,before
experiment,12029600,after
experiment,12029600,before
experiment,12029600,after
experiment,12029600,before
experiment,12029600,after
experiment,12029600,before
experiment,12029600,after
experiment,14330352,before
experiment,13266240,after
experiment,19090088,before
experiment,19090088,after
experiment,27185416,before
experiment,24247184,after
experiment,28058720,before
experiment,26290056,after
experiment,28908784,before
experiment,27552848,after
experiment,34989248,before
experiment,30213584,after
experiment,36577560,before
experiment,31131448,after
experiment,31609320,before
experiment,31609320,after
experiment,31856592,before
experiment,31856592,after
experiment,31872312,before
experiment,27413400,after
experiment,46151696,before
experiment,32859896,after
experiment,37158408,before
experiment,37158408,after
experiment,4356312,before
experiment,3817520,after
experiment,5020896,before
experiment,4716488,after
experiment,6768560,before
experiment,6351440,after
experiment,10602296,before
experiment,9690336,after
experiment,12245456,before
experiment,11585736,after
experiment,12026040,before
experiment,12026040,after
experiment,12026040,before
experiment,12026040,after
experiment,12026040,before
experiment,12026040,after
experiment,12026040,before
experiment,12026040,after
experiment,14330424,before
experiment,13266392,after
experiment,19090984,before
experiment,19090984,after
experiment,27181024,before
experiment,24239536,after
experiment,28039056,before
experiment,26266024,after
experiment,28885784,before
experiment,27529464,after
experiment,34914704,before
experiment,30147480,after
experiment,36508104,before
experiment,31063472,after
experiment,31553336,before
experiment,31553336,after
experiment,31809320,before
experiment,31809320,after
experiment,31902752,before
experiment,27399744,after
experiment,46075408,before
experiment,32837360,after
experiment,36794992,before
experiment,36794992,after
experiment,4356312,before
experiment,3817520,after
experiment,5020832,before
experiment,4716424,after
experiment,6768584,before
experiment,6351464,after
experiment,10602368,before
experiment,9690384,after
experiment,12245568,before
experiment,11585832,after
experiment,12026136,before
experiment,12026136,after
experiment,12026136,before
experiment,12026136,after
experiment,12026136,before
experiment,12026136,after
experiment,12026136,before
experiment,12026136,after
experiment,14342952,before
experiment,13277896,after
experiment,19094528,before
