set,phase,ms,type
experiment,load,41.33,self
experiment,load,41.33,cumulative
experiment,boot,302.023,self
experiment,boot,343.353,cumulative
experiment,transition,314.607,self
experiment,transition,657.96,cumulative
experiment,render,360.029,self
experiment,render,1017.989,cumulative
experiment,paint,1.89,self
experiment,paint,1019.879,cumulative
experiment,load,34.798,self
experiment,load,34.798,cumulative
experiment,boot,270.128,self
experiment,boot,304.926,cumulative
experiment,transition,301.342,self
experiment,transition,606.268,cumulative
experiment,render,345.808,self
experiment,render,952.076,cumulative
experiment,paint,1.508,self
experiment,paint,953.584,cumulative
experiment,load,31.327,self
experiment,load,31.327,cumulative
experiment,boot,269.866,self
experiment,boot,301.193,cumulative
experiment,transition,325.689,self
experiment,transition,626.882,cumulative
experiment,render,337.274,self
experiment,render,964.156,cumulative
experiment,paint,1.116,self
experiment,paint,965.272,cumulative
experiment,load,35.916,self
experiment,load,35.916,cumulative
experiment,boot,272.318,self
experiment,boot,308.234,cumulative
experiment,transition,318.146,self
experiment,transition,626.38,cumulative
experiment,render,362.729,self
experiment,render,989.109,cumulative
experiment,paint,1.858,self
experiment,paint,990.967,cumulative
experiment,load,33.409,self
experiment,load,33.409,cumulative
experiment,boot,291.819,self
experiment,boot,325.228,cumulative
experiment,transition,303.481,self
experiment,transition,628.709,cumulative
experiment,render,346.007,self
experiment,render,974.716,cumulative
experiment,paint,1.98,self
experiment,paint,976.696,cumulative
experiment,load,30.785,self
experiment,load,30.785,cumulative
experiment,boot,264.214,self
experiment,boot,294.999,cumulative
experiment,transition,302.186,self
experiment,transition,597.185,cumulative
experiment,render,364.056,self
experiment,render,961.241,cumulative
experiment,paint,1.573,self
experiment,paint,962.814,cumulative
experiment,load,33.395,self
experiment,load,33.395,cumulative
experiment,boot,276.389,self
experiment,boot,309.784,cumulative
experiment,transition,308.302,self
experiment,transition,618.086,cumulative
experiment,render,341.57,self
experiment,render,959.656,cumulative
experiment,paint,1.78,self
experiment,paint,961.436,cumulative
experiment,load,31.079,self
experiment,load,31.079,cumulative
experiment,boot,267.184,self
experiment,boot,298.263,cumulative
experiment,transition,309.786,self
experiment,transition,608.049,cumulative
experiment,render,338.946,self
experiment,render,946.995,cumulative
experiment,paint,1.881,self
experiment,paint,948.876,cumulative
experiment,load,31.796,self
experiment,load,31.796,cumulative
experiment,boot,269.979,self
experiment,boot,301.775,cumulative
experiment,transition,319.796,self
experiment,transition,621.571,cumulative
experiment,render,398.365,self
experiment,render,1019.936,cumulative
experiment,paint,1.802,self
experiment,paint,1021.738,cumulative
experiment,load,31.946,self
experiment,load,31.946,cumulative
experiment,boot,295.257,self
experiment,boot,327.203,cumulative
experiment,transition,322.201,self
experiment,transition,649.404,cumulative
experiment,render,350.435,self
experiment,render,999.839,cumulative
experiment,paint,1.727,self
experiment,paint,1001.566,cumulative
experiment,load,29.986,self
experiment,load,29.986,cumulative
experiment,boot,267.87,self
experiment,boot,297.856,cumulative
experiment,transition,322.401,self
experiment,transition,620.257,cumulative
experiment,render,345.294,self
experiment,render,965.551,cumulative
experiment,paint,2.841,self
experiment,paint,968.392,cumulative
experiment,load,32.771,self
experiment,load,32.771,cumulative
experiment,boot,269.526,self
experiment,boot,302.297,cumulative
experiment,transition,306.156,self
experiment,transition,608.453,cumulative
experiment,render,351.002,self
experiment,render,959.455,cumulative
experiment,paint,1.636,self
experiment,paint,961.091,cumulative
experiment,load,29.709,self
experiment,load,29.709,cumulative
experiment,boot,269.38,self
experiment,boot,299.089,cumulative
experiment,transition,441.495,self
experiment,transition,740.584,cumulative
experiment,render,491.606,self
experiment,render,1232.19,cumulative
experiment,paint,1.818,self
experiment,paint,1234.008,cumulative
experiment,load,45.057,self
experiment,load,45.057,cumulative
experiment,boot,300.034,self
experiment,boot,345.091,cumulative
experiment,transition,300.468,self
experiment,transition,645.559,cumulative
experiment,render,350.265,self
experiment,render,995.824,cumulative
experiment,paint,1.464,self
experiment,paint,997.288,cumulative
experiment,load,31.788,self
experiment,load,31.788,cumulative
experiment,boot,285.171,self
experiment,boot,316.959,cumulative
experiment,transition,312.982,self
experiment,transition,629.941,cumulative
experiment,render,344.91,self
experiment,render,974.851,cumulative
experiment,paint,1.921,self
experiment,paint,976.772,cumulative
experiment,load,30.344,self
experiment,load,30.344,cumulative
experiment,boot,279.11,self
experiment,boot,309.454,cumulative
experiment,transition,307.567,self
experiment,transition,617.021,cumulative
experiment,render,353.747,self
experiment,render,970.768,cumulative
experiment,paint,1.81,self
experiment,paint,972.578,cumulative
experiment,load,32.731,self
experiment,load,32.731,cumulative
experiment,boot,288.622,self
experiment,boot,321.353,cumulative
experiment,transition,304.885,self
experiment,transition,626.238,cumulative
experiment,render,347.256,self
experiment,render,973.494,cumulative
experiment,paint,2.068,self
experiment,paint,975.562,cumulative
experiment,load,31.88,self
experiment,load,31.88,cumulative
experiment,boot,269.894,self
experiment,boot,301.774,cumulative
experiment,transition,314.705,self
experiment,transition,616.479,cumulative
experiment,render,341.323,self
experiment,render,957.802,cumulative
experiment,paint,1.624,self
experiment,paint,959.426,cumulative
experiment,load,33.213,self
experiment,load,33.213,cumulative
experiment,boot,270.557,self
experiment,boot,303.77,cumulative
experiment,transition,302.237,self
experiment,transition,606.007,cumulative
experiment,render,338.911,self
experiment,render,944.918,cumulative
experiment,paint,1.538,self
experiment,paint,946.456,cumulative
experiment,load,31.801,self
experiment,load,31.801,cumulative
experiment,boot,265.217,self
experiment,boot,297.018,cumulative
experiment,transition,328.02,self
experiment,transition,625.038,cumulative
experiment,render,336.013,self
experiment,render,961.051,cumulative
experiment,paint,1.597,self
experiment,paint,962.648,cumulative
experiment,load,50.873,self
experiment,load,50.873,cumulative
experiment,boot,305.189,self
experiment,boot,356.062,cumulative
experiment,transition,301.415,self
experiment,transition,657.477,cumulative
experiment,render,353.712,self
experiment,render,1011.189,cumulative
experiment,paint,1.55,self
experiment,paint,1012.739,cumulative
experiment,load,31.283,self
experiment,load,31.283,cumulative
experiment,boot,292.444,self
experiment,boot,323.727,cumulative
experiment,transition,317.482,self
experiment,transition,641.209,cumulative
experiment,render,352.128,self
experiment,render,993.337,cumulative
experiment,paint,1.746,self
experiment,paint,995.083,cumulative
experiment,load,31.63,self
experiment,load,31.63,cumulative
experiment,boot,290.286,self
experiment,boot,321.916,cumulative
experiment,transition,368.869,self
experiment,transition,690.785,cumulative
experiment,render,347.183,self
experiment,render,1037.968,cumulative
experiment,paint,1.795,self
experiment,paint,1039.763,cumulative
experiment,load,30.737,self
experiment,load,30.737,cumulative
experiment,boot,268.475,self
experiment,boot,299.212,cumulative
experiment,transition,306.765,self
experiment,transition,605.977,cumulative
experiment,render,346.228,self
experiment,render,952.205,cumulative
experiment,paint,1.534,self
experiment,paint,953.739,cumulative
experiment,load,31.517,self
experiment,load,31.517,cumulative
experiment,boot,282.255,self
experiment,boot,313.772,cumulative
experiment,transition,306.808,self
experiment,transition,620.58,cumulative
experiment,render,360.57,self
experiment,render,981.15,cumulative
experiment,paint,1.819,self
experiment,paint,982.969,cumulative
experiment,load,48.621,self
experiment,load,48.621,cumulative
experiment,boot,311.152,self
experiment,boot,359.773,cumulative
experiment,transition,347.44,self
experiment,transition,707.213,cumulative
experiment,render,315.105,self
experiment,render,1022.318,cumulative
experiment,paint,3.035,self
experiment,paint,1025.353,cumulative
experiment,load,30.325,self
experiment,load,30.325,cumulative
experiment,boot,265.708,self
experiment,boot,296.033,cumulative
experiment,transition,309.255,self
experiment,transition,605.288,cumulative
experiment,render,360.198,self
experiment,render,965.486,cumulative
experiment,paint,3.663,self
experiment,paint,969.149,cumulative
experiment,load,30.633,self
experiment,load,30.633,cumulative
experiment,boot,276.862,self
experiment,boot,307.495,cumulative
experiment,transition,308.713,self
experiment,transition,616.208,cumulative
experiment,render,332.428,self
experiment,render,948.636,cumulative
experiment,paint,1.83,self
experiment,paint,950.466,cumulative
experiment,load,29.544,self
experiment,load,29.544,cumulative
experiment,boot,264.067,self
experiment,boot,293.611,cumulative
experiment,transition,294.901,self
experiment,transition,588.512,cumulative
experiment,render,355.191,self
experiment,render,943.703,cumulative
experiment,paint,1.716,self
experiment,paint,945.419,cumulative
experiment,load,34.212,self
experiment,load,34.212,cumulative
experiment,boot,272.993,self
experiment,boot,307.205,cumulative
experiment,transition,314.735,self
experiment,transition,621.94,cumulative
experiment,render,342.251,self
experiment,render,964.191,cumulative
experiment,paint,1.596,self
experiment,paint,965.787,cumulative
experiment,load,30.423,self
experiment,load,30.423,cumulative
experiment,boot,266.96,self
experiment,boot,297.383,cumulative
experiment,transition,315.776,self
experiment,transition,613.159,cumulative
experiment,render,341.256,self
experiment,render,954.415,cumulative
experiment,paint,1.625,self
experiment,paint,956.04,cumulative
experiment,load,33.61,self
experiment,load,33.61,cumulative
experiment,boot,278.407,self
experiment,boot,312.017,cumulative
experiment,transition,300.179,self
experiment,transition,612.196,cumulative
experiment,render,344.822,self
experiment,render,957.018,cumulative
experiment,paint,1.629,self
experiment,paint,958.647,cumulative
experiment,load,29.839,self
experiment,load,29.839,cumulative
experiment,boot,263.414,self
experiment,boot,293.253,cumulative
experiment,transition,306.35,self
experiment,transition,599.603,cumulative
experiment,render,342.915,self
experiment,render,942.518,cumulative
experiment,paint,1.598,self
experiment,paint,944.116,cumulative
experiment,load,31.527,self
experiment,load,31.527,cumulative
experiment,boot,290.87,self
experiment,boot,322.397,cumulative
experiment,transition,310.638,self
experiment,transition,633.035,cumulative
experiment,render,345.153,self
experiment,render,978.188,cumulative
experiment,paint,1.452,self
experiment,paint,979.64,cumulative
experiment,load,25.911,self
experiment,load,25.911,cumulative
experiment,boot,265.516,self
experiment,boot,291.427,cumulative
experiment,transition,299.861,self
experiment,transition,591.288,cumulative
experiment,render,351.371,self
experiment,render,942.659,cumulative
experiment,paint,1.799,self
experiment,paint,944.458,cumulative
experiment,load,27.279,self
experiment,load,27.279,cumulative
experiment,boot,279.472,self
experiment,boot,306.751,cumulative
experiment,transition,310.295,self
experiment,transition,617.046,cumulative
experiment,render,350.988,self
experiment,render,968.034,cumulative
experiment,paint,1.682,self
experiment,paint,969.716,cumulative
experiment,load,44.182,self
experiment,load,44.182,cumulative
experiment,boot,297.781,self
experiment,boot,341.963,cumulative
experiment,transition,310.22,self
experiment,transition,652.183,cumulative
experiment,render,344.918,self
experiment,render,997.101,cumulative
experiment,paint,1.759,self
experiment,paint,998.86,cumulative
experiment,load,42.643,self
experiment,load,42.643,cumulative
experiment,boot,392.872,self
experiment,boot,435.515,cumulative
experiment,transition,304.955,self
experiment,transition,740.47,cumulative
experiment,render,350.351,self
experiment,render,1090.821,cumulative
experiment,paint,1.573,self
experiment,paint,1092.394,cumulative
experiment,load,28.461,self
experiment,load,28.461,cumulative
experiment,boot,263.498,self
experiment,boot,291.959,cumulative
experiment,transition,311.043,self
experiment,transition,603.002,cumulative
experiment,render,344.318,self
experiment,render,947.32,cumulative
experiment,paint,1.705,self
experiment,paint,949.025,cumulative
experiment,load,30.725,self
experiment,load,30.725,cumulative
experiment,boot,266.873,self
experiment,boot,297.598,cumulative
experiment,transition,308.777,self
experiment,transition,606.375,cumulative
experiment,render,339.217,self
experiment,render,945.592,cumulative
experiment,paint,1.773,self
experiment,paint,947.365,cumulative
experiment,load,30.798,self
experiment,load,30.798,cumulative
experiment,boot,274.627,self
experiment,boot,305.425,cumulative
experiment,transition,328.702,self
experiment,transition,634.127,cumulative
experiment,render,348.914,self
experiment,render,983.041,cumulative
experiment,paint,1.547,self
experiment,paint,984.588,cumulative
experiment,load,28.689,self
experiment,load,28.689,cumulative
experiment,boot,273.418,self
experiment,boot,302.107,cumulative
experiment,transition,301.741,self
experiment,transition,603.848,cumulative
experiment,render,351.939,self
experiment,render,955.787,cumulative
experiment,paint,1.386,self
experiment,paint,957.173,cumulative
experiment,load,28.635,self
experiment,load,28.635,cumulative
experiment,boot,276.255,self
experiment,boot,304.89,cumulative
experiment,transition,309.679,self
experiment,transition,614.569,cumulative
experiment,render,333.222,self
experiment,render,947.791,cumulative
experiment,paint,1.622,self
experiment,paint,949.413,cumulative
experiment,load,25.904,self
experiment,load,25.904,cumulative
experiment,boot,269.212,self
experiment,boot,295.116,cumulative
experiment,transition,303.729,self
experiment,transition,598.845,cumulative
experiment,render,349.483,self
experiment,render,948.328,cumulative
experiment,paint,1.572,self
