set,ms,type
experiment,10.794,compile
experiment,837.207,run
experiment,848.001,js
experiment,36.47,gc
experiment,1019.879,duration
experiment,12.135,compile
experiment,818.729,run
experiment,830.864,js
experiment,39.287,gc
experiment,953.584,duration
experiment,12.105,compile
experiment,836.539,run
experiment,848.644,js
experiment,36.705,gc
experiment,965.272,duration
experiment,12.922,compile
experiment,857.21,run
experiment,870.132,js
experiment,37.769,gc
experiment,990.967,duration
experiment,14.929,compile
experiment,831.32,run
experiment,846.249,js
experiment,38.336,gc
experiment,976.696,duration
experiment,11.818,compile
experiment,834.846,run
experiment,846.664,js
experiment,37.554,gc
experiment,962.814,duration
experiment,11.658,compile
experiment,823.563,run
experiment,835.221,js
experiment,38.877,gc
experiment,961.436,duration
experiment,12.679,compile
experiment,817.93,run
experiment,830.609,js
experiment,37.751,gc
experiment,948.876,duration
experiment,12.898,compile
experiment,890.301,run
experiment,903.199,js
experiment,38.469,gc
experiment,1021.738,duration
experiment,15.536,compile
experiment,856.469,run
experiment,872.005,js
experiment,38.159,gc
experiment,1001.566,duration
experiment,12.813,compile
experiment,834.414,run
experiment,847.227,js
experiment,37.244,gc
experiment,968.392,duration
experiment,12.268,compile
experiment,823.605,run
experiment,835.873,js
experiment,37.113,gc
experiment,961.091,duration
experiment,13.221,compile
experiment,1100.951,run
experiment,1114.172,js
experiment,40.437,gc
experiment,1234.008,duration
experiment,11.845,compile
experiment,814.025,run
experiment,825.87,js
experiment,38.954,gc
experiment,997.288,duration
experiment,12.411,compile
experiment,845.459,run
experiment,857.87,js
experiment,37.013,gc
experiment,976.772,duration
experiment,12.015,compile
experiment,838.352,run
experiment,850.367,js
experiment,39.279,gc
experiment,972.578,duration
experiment,12.535,compile
experiment,831.644,run
experiment,844.179,js
experiment,37.403,gc
experiment,975.562,duration
experiment,11.611,compile
experiment,829.679,run
experiment,841.29,js
experiment,39.053,gc
experiment,959.426,duration
experiment,12.82,compile
experiment,811.415,run
experiment,824.235,js
experiment,37.192,gc
experiment,946.456,duration
experiment,12.015,compile
experiment,834.379,run
experiment,846.394,js
experiment,38.586,gc
experiment,962.648,duration
experiment,12.913,compile
experiment,822.714,run
experiment,835.627,js
experiment,37.785,gc
experiment,1012.739,duration
experiment,13.101,compile
experiment,864.082,run
experiment,877.183,js
experiment,37.255,gc
